Region,Division,District,School_ID,NSBI SCHOOL ID,School_Name,Street_Address,Province,Municipality,Legislative_District,Barangay,Sector,School_Type,Classification_Offering,Longitude,Latitude,Connectivity Status,Connection Type,With Internet,Mobile Data,No Internet,DICT Free WiFi
Region I,Ilocos Norte,Bacarra I,100001,100001,Apaleng-Libtong ES,"Brgy. 21, Libtong, Bacarra, Ilocos Norte",ILOCOS NORTE,BACARRA,1st District,LIBTONG,Public,School with no Annexes,Purely ES,120.6143722,18.2668598,online,Connected via Wired,1,0,0,
Region I,Ilocos Norte,Bacarra I,100002,100002,Bacarra CES,Santa Rita,ILOCOS NORTE,BACARRA,1st District,SANTA RITA (POB.),Public,School with no Annexes,Purely ES,120.6094874,18.2512723,online,Connected via Wired,1,0,0,1
Region I,Ilocos Norte,Bacarra I,100003,100003,Buyon ES,NONE,ILOCOS NORTE,BACARRA,1st District,BUYON,Public,School with no Annexes,Purely ES,120.61605,18.23467,online,Connected via Wired,1,0,0,
Region I,Ilocos Norte,Bacarra I,100004,100004,Ganagan Elementary School,"#37 Ganagan,Bacarra, Ilocos Norte",ILOCOS NORTE,BACARRA,1st District,GANAGAN,Public,School with no Annexes,Purely ES,120.5874148,18.2501214,online,Connected via Wired,1,0,0,
Region I,Ilocos Norte,Bacarra I,100005,100005,Macupit ES,Macupit,ILOCOS NORTE,BACARRA,1st District,MACUPIT,Public,School with no Annexes,Purely ES,120.6410016,18.294093,offline,,0,0,1,
Region I,Ilocos Norte,Bacarra I,100006,100006,Nambaran ES,Brgy. 19 Nambaran,ILOCOS NORTE,BACARRA,1st District,NAMBARAN,Public,School with no Annexes,Purely ES,120.646128,18.2664934,online,Connected via Wired,1,0,0,
Region I,Ilocos Norte,Bacarra I,100007,100007,Pasiocan ES,"Brgy 39, Bacarra, I.N.",ILOCOS NORTE,BACARRA,1st District,PASIOCAN,Public,School with no Annexes,Purely ES,120.6083801,18.2344913,online,Connected via Wired,1,0,0,
Region I,Ilocos Norte,Bacarra I,100008,100008,Pulangi ES,"-Brgy. 20, Pulangi",ILOCOS NORTE,BACARRA,1st District,PULANGI,Public,School with no Annexes,Purely ES,120.62723,18.27013,online,Connected via Wired,1,0,0,
Region I,Ilocos Norte,Bacarra I,100009,100009,Sabas-Sagisi Memorial Elem. School,"Brgy. 38 Sangil, Bacarra, Ilocos Norte",ILOCOS NORTE,BACARRA,1st District,SANGIL,Public,School with no Annexes,Purely ES,120.5932045,18.2444217,online,Connected via Wired,1,0,0,
Region I,Ilocos Norte,Bacarra I,100010,100010,SPECIAL EDUCATION CENTER,RIZAL ST.,ILOCOS NORTE,BACARRA,1st District,SANTA RITA (POB.),Public,School with no Annexes,Purely ES,120.6114094,18.2518338,online,Connected via Wired,1,0,0,
